Index,lat,lon
"Castlegar, bc, Canada",49.3237408,-117.6593341
"Central Fraser Valley, bc, Canada",49.3764104,-121.8159307
"Central Okanagan, bc, Canada",49.9473663,-119.5588209
"Comox Valley, bc, Canada",49.6735133,-124.9282659
"Courtenay, bc, Canada",49.6841391,-124.9904493
"Cranbrook, bc, Canada",49.5129678,-115.7694002
"Duncan, bc, Canada",48.7786908,-123.7079416
"Eastern Fraser Valley, bc, Canada",49.3764104,-121.8159307
"Fort St. John, bc, Canada",56.252423,-120.846409
"Kamloops, bc, Canada",50.674522,-120.3272674
"Kitimat, bc, Canada",54.0632661,-128.637191
"Metro Vancouver - NE, bc, Canada",49.3224696,-122.8568391
"Metro Vancouver - NW, bc, Canada",49.2057179,-122.910956
"Metro Vancouver - SE, bc, Canada",49.3224696,-122.8568391
"Metro Vancouver - SW, bc, Canada",49.3224696,-122.8568391
"Nanaimo, bc, Canada",49.1658836,-123.9400647
"North Okanagan, bc, Canada",50.3398977,-118.7840936
"Prince George, bc, Canada",53.9170641,-122.7496693
"Quesnel, bc, Canada",52.9817372,-122.4949058
"Smithers, bc, Canada",54.782355,-127.1685541
"South Okanagan, bc, Canada",53.7266683,-127.6476206
"Sparwood, bc, Canada",49.7308665,-114.8861593
"Squamish, bc, Canada",49.7016339,-123.1558121
"Terrace, bc, Canada",54.5181925,-128.603154
"Victoria/Saanich, bc, Canada",48.4284207,-123.3656444
"WestShore, bc, Canada",48.4474626,-123.4956337
"Whistler, bc, Canada",50.1161686,-122.9535117
"Williams Lake, bc, Canada",52.1416736,-122.1416885
"Airdrie, ab, Canada",51.2926968,-114.0134113
"Calgary, ab, Canada",51.0447331,-114.0718831
"Cold Lake, ab, Canada",54.464249,-110.1731779
"Drayton Valley, ab, Canada",53.2214945,-114.976746
"Edmonton, ab, Canada",53.5460983,-113.4937266
"Edson, ab, Canada",53.585422,-116.4337219
"Fort Chipewyan, ab, Canada",58.7133284,-111.1574916
"Fort McKay, ab, Canada",57.186758,-111.636785
"Fort McMurray, ab, Canada",56.7266231,-111.3790095
"Fort Saskatchewan, ab, Canada",53.6962239,-113.2163654
"Grande Prairie, ab, Canada",55.170691,-118.7884808
"Hinton, ab, Canada",53.399067,-117.5794057
"Lamont County, ab, Canada",53.7901566,-112.5577641
"Lethbridge, ab, Canada",49.6956181,-112.8451067
"Medicine Hat, ab, Canada",50.0290218,-110.7031976
"Parkland County, ab, Canada",53.4754873,-114.0863102
"Red Deer, ab, Canada",52.2690328,-113.8114955
"St. Albert, ab, Canada",53.6539037,-113.6292701
"Strathcona County, ab, Canada",53.5326776,-113.1553199
"Sturgeon County, ab, Canada",53.81567,-113.562732
"Wood Buffalo - south, ab, Canada",57.6066083,-111.6495855
"Buffalo Narrows, sk, Canada",55.8628398,-108.4794604
"Estevan, sk, Canada",49.1390842,-102.9914807
"Prince Albert, sk, Canada",53.2033494,-105.7530705
"Regina, sk, Canada",50.4452112,-104.6188944
"Saskatoon, sk, Canada",52.157902,-106.6701577
"Swift Current, sk, Canada",50.285069,-107.7971722
"Brandon, mb, Canada",49.8437486,-99.9514807
"Flin Flon, mb, Canada",54.7751389,-101.8493669
"Winnipeg, mb, Canada",49.8954221,-97.1385145
"Barrie, on, Canada",44.3893556,-79.6903316
"Belleville, on, Canada",44.1627589,-77.3832315
"Brampton, on, Canada",43.7315479,-79.7624177
"Brantford, on, Canada",43.1393867,-80.2644254
"Burlington, on, Canada",43.3255196,-79.7990319
"Chatham, on, Canada",42.4048018,-82.1910376
"Cornwall, on, Canada",45.0212762,-74.730345
"Dorset, on, Canada",45.2444301,-78.8939439
"Grand Bend, on, Canada",43.3130397,-81.7562242
"Guelph, on, Canada",43.5448048,-80.2481666
"Hamilton, on, Canada",43.2557206,-79.8711024
"- Hamilton Downtown, on, Canada",43.2557206,-79.8711024
"- Hamilton Mountain, on, Canada",56.130366,-106.346771
"- Hamilton West, on, Canada",56.130366,-106.346771
"Kingston, on, Canada",44.2311717,-76.4859544
"Kitchener, on, Canada",43.4516395,-80.4925337
"London, on, Canada",42.9849233,-81.2452768
"Milton, on, Canada",43.5182991,-79.8774042
"Mississauga, on, Canada",43.5890452,-79.6441198
"Newmarket, on, Canada",44.059187,-79.461256
"North Bay, on, Canada",46.3091152,-79.4608204
"Oakville, on, Canada",43.467517,-79.6876659
"Oshawa, on, Canada",43.8970929,-78.8657912
"Ottawa, on, Canada",45.4215296,-75.6971931
"Parry Sound, on, Canada",45.3473925,-80.034783
"Peterborough, on, Canada",44.3047061,-78.3199606
"Port Stanley, on, Canada",42.6641353,-81.2156329
"Sarnia, on, Canada",42.974536,-82.4065901
"Sault Ste. Marie, on, Canada",46.5136494,-84.3357526
"St. Catharines, on, Canada",43.1593745,-79.2468626
"Sudbury, on, Canada",46.4917317,-80.993029
"Thunder Bay, on, Canada",48.3808951,-89.2476823
"Tiverton, on, Canada",44.2676578,-81.5433231
"Toronto, on, Canada",43.653226,-79.3831843
"- Toronto Downtown, on, Canada",43.6548046,-79.3883031
"- Toronto East, on, Canada",43.653226,-79.3831843
"- Toronto North, on, Canada",43.7120853,-79.3944365
"- Toronto West, on, Canada",43.653226,-79.3831843
"Windsor, on, Canada",42.3149367,-83.0363633
"- Windsor Downtown, on, Canada",42.3149367,-83.0363633
"- Windsor West, on, Canada",56.130366,-106.346771
"Gatineau, qc, Canada",45.4765446,-75.7012723
"Montréal, qc, Canada",45.5018869,-73.5673919
"Québec, qc, Canada",46.8130816,-71.2074596
"Bathurst, nb, Canada",47.6183507,-65.6513358
"Campbellton, nb, Canada",48.007399,-66.6722057
"Edmundston, nb, Canada",47.3690127,-68.3266741
"Fredericton, nb, Canada",45.9635895,-66.6431151
"Miramichi, nb, Canada",47.0295709,-65.5059061
"Moncton, nb, Canada",46.0878165,-64.7782313
"Saint Andrews, nb, Canada",45.0738432,-67.0530897
"Saint John, nb, Canada",45.2733153,-66.0633081
"Greenwood, ns, Canada",44.9717246,-64.9341295
"Halifax, ns, Canada",44.8857087,-63.1005273
"- Halifax - Lake Major, ns, Canada",44.7330713,-63.4871332
"- Halifax Downtown, ns, Canada",44.6457922,-63.5778191
"Kentville, ns, Canada",45.0771182,-64.4942826
"Pictou, ns, Canada",45.6761282,-62.708845
"Port Hawkesbury, ns, Canada",45.6148755,-61.3518164
"Sydney, ns, Canada",46.1367899,-60.194224
"Charlottetown, pe, Canada",46.23824,-63.1310704
"St. Peters Bay, pe, Canada",46.4174453,-62.5810333
"Summerside (Wellington), pe, Canada",46.4538293,-63.9995297
"Burin, nl, Canada",47.0777517,-55.1762977
"Corner Brook, nl, Canada",48.9523316,-57.9460401
"Grand Falls-Windsor, nl, Canada",48.9279047,-55.6598977
"Labrador City, nl, Canada",52.9383852,-66.9153137
"St. John's, nl, Canada",47.5556097,-52.7452511
"Whitehorse, yt, Canada",60.7197137,-135.0522761
"Fort Smith, nt, Canada",60.00552,-111.8849379
"Inuvik, nt, Canada",68.3607437,-133.7230177
"Norman Wells, nt, Canada",65.2814938,-126.8286524
"Yellowknife, nt, Canada",62.4539717,-114.3717886
"Arviat, nu, Canada",61.1078279,-94.0623691
