FID,id,agency_code,region_code,national_fire_id,agency_fire_id,national_fire_cause,fire_type_ics,severity_nearest_dsr,fire_was_prescribed,percent_contained,fire_size,response_type,stage_of_control_status,situation_report_date,status_date,latitude,longitude,geometry,fire_year,status_year,record_start,record_end
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-572c,19397032,MB,EA,2026_MB_MB-EA032,MB-EA032,N,-1,-1,-1,-1,3.5,FUL,OC,2026-07-30T05:00:00,2026-07-31T13:37:00,52.805,-97.1603,POINT (-143765.148386 422858.159586),2026,2026,2026-07-31T14:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-572b,19397250,MB,NO,2026_MB_MB-NO218,MB-NO218,N,-1,-1,-1,-1,0.8,FUL,BH,2026-07-30T05:00:00,2026-07-31T14:13:00,54.6069,-94.6928,POINT (19495.506253 617900.806228),2026,2026,2026-07-31T14:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-572a,19397248,MB,NO,2026_MB_MB-NO216,MB-NO216,N,-1,-1,-1,-1,1.0,MOD,UC,2026-07-28T05:00:00,2026-07-31T14:11:00,53.42,-94.9078,POINT (6040.503299 487911.723985),2026,2026,2026-07-31T14:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5729,19335173,MB,NO,2026_MB_MB-NO217,MB-NO217,N,-1,-1,-1,-1,0.2,MON,OC,2026-07-30T05:00:00,2026-07-30T10:34:00,53.9544,-96.56,POINT (-100735.292545 547702.027364),2026,2026,2026-07-30T23:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5728,19306028,MB,NO,2026_MB_MB-NO192,MB-NO192,N,-1,-1,-1,-1,1078.0,FUL,UC,2026-07-14T05:00:00,2026-07-30T15:53:00,55.91,-98.7264,POINT (-228006.126565 766768.567303),2026,2026,2026-07-30T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5727,19194850,MB,NO,2026_MB_MB-NO080,MB-NO080,N,-1,-1,-1,-1,17275.1,FUL,UC,2026-06-26T05:00:00,2026-07-31T13:56:00,56.6633,-99.1486,POINT (-248457.990435 850241.57572),2026,2026,2026-07-29T13:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5726,19120219,MB,WE,2026_MB_MB-WE027,MB-WE027,N,-1,-1,-1,-1,18000.0,MOD,UC,2026-06-02T05:00:00,2026-07-31T13:13:00,55.2836,-101.9058,POINT (-429360.922274 715098.043452),2026,2026,2026-07-28T19:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5725,19111660,MB,NO,2026_MB_MB-NO193,MB-NO193,N,-1,-1,-1,-1,61.8,MON,OC,2026-07-14T05:00:00,2026-07-31T13:56:00,56.0439,-99.2272,POINT (-257638.85571 783243.795967),2026,2026,2026-07-28T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5724,19011388,MB,EA,2026_MB_MB-EA030,MB-EA030,N,-1,-1,-1,-1,2.5,FUL,UC,2026-07-24T05:00:00,2026-07-31T13:33:00,51.5361,-96.3131,POINT (-90276.055681 281720.352463),2026,2026,2026-07-27T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5723,19003445,MB,NO,2026_MB_MB-NO032,MB-NO032,N,-1,-1,-1,-1,0.1,MON,OC,2026-06-24T05:00:00,2026-07-31T13:56:00,56.5142,-100.3506,POINT (-321655.535915 839436.997338),2026,2026,2026-07-27T14:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5722,19003613,MB,NO,2026_MB_MB-NO200,MB-NO200,N,-1,-1,-1,-1,4926.0,MON,OC,2026-07-15T05:00:00,2026-07-31T13:16:00,56.7875,-94.9719,POINT (1675.729175 855648.675947),2026,2026,2026-07-27T14:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5721,18993763,MB,NO,2026_MB_MB-NO040,MB-NO040,N,-1,-1,-1,-1,59.4,MON,OC,2026-06-25T05:00:00,2026-07-31T13:56:00,58.9028,-98.7697,POINT (-211385.798506 1091659.133053),2026,2026,2026-07-27T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5720,18993825,MB,NO,2026_MB_MB-NO102,MB-NO102,N,-1,-1,-1,-1,4.0,FUL,UC,2026-06-27T05:00:00,2026-07-31T13:56:00,56.7094,-100.2003,POINT (-310905.959237 859870.681258),2026,2026,2026-07-27T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-571f,18993806,MB,NO,2026_MB_MB-NO083,MB-NO083,N,-1,-1,-1,-1,2972.0,MON,OC,2026-06-26T05:00:00,2026-07-31T13:56:00,57.2103,-100.6283,POINT (-331618.927355 916313.728645),2026,2026,2026-07-27T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-571e,18993878,MB,NO,2026_MB_MB-NO155,MB-NO155,N,-1,-1,-1,-1,179.6,MON,OC,2026-07-01T05:00:00,2026-07-31T13:56:00,57.3442,-100.5069,POINT (-323226.148264 930188.446466),2026,2026,2026-07-27T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-571d,18939254,MB,NO,2026_MB_MB-NO196,MB-NO196,N,-1,-1,-1,-1,11.4,MON,OC,2026-07-15T05:00:00,2026-07-31T13:56:00,55.9317,-97.0236,POINT (-123793.182256 764419.054418),2026,2026,2026-07-26T23:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-571c,18939086,MB,NO,2026_MB_MB-NO028,MB-NO028,N,-1,-1,-1,-1,19174.0,FUL,UC,2026-06-24T05:00:00,2026-07-31T13:56:00,55.4344,-98.7372,POINT (-231713.402498 715035.767985),2026,2026,2026-07-26T23:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-571b,18905765,MB,NO,2026_MB_MB-NO107,MB-NO107,N,-1,-1,-1,-1,1057.0,MOD,UC,2026-06-27T05:00:00,2026-07-31T13:56:00,56.6436,-100.3333,POINT (-319442.140227 853390.179234),2026,2026,2026-07-26T15:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-571a,18903420,MB,NO,2026_MB_MB-NO213,MB-NO213,N,-1,-1,-1,-1,0.1,MOD,UC,2026-07-22T05:00:00,2026-07-31T13:56:00,56.4789,-99.7703,POINT (-287128.489284 832831.236652),2026,2026,2026-07-26T14:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5719,18817017,MB,NO,2026_MB_MB-NO019,MB-NO019,N,-1,-1,-1,-1,9278.4,MOD,UC,2026-06-06T05:00:00,2026-07-31T13:56:00,56.3392,-99.7133,POINT (-284833.251195 817403.733494),2026,2026,2026-07-25T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5718,18817052,MB,NO,2026_MB_MB-NO054,MB-NO054,N,-1,-1,-1,-1,212.5,FUL,UC,2026-06-25T05:00:00,2026-07-31T13:56:00,58.9758,-99.9819,POINT (-278618.756394 1104231.13952),2026,2026,2026-07-25T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5717,18720142,MB,WE,2026_MB_MB-WE046,MB-WE046,N,-1,-1,-1,-1,50.0,MON,OC,2026-07-23T05:00:00,2026-07-31T13:13:00,55.8247,-100.4725,POINT (-335422.382395 765229.922453),2026,2026,2026-07-24T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-5716,18629954,MB,NO,2026_MB_MB-NO092,MB-NO092,N,-1,-1,-1,-1,13492.0,MOD,UC,2026-06-26T05:00:00,2026-07-31T13:16:00,57.8672,-97.0103,POINT (-116324.105955 974855.199235),2026,2026,2026-07-23T17:45:00,2026-12-31T23:59:59.999
