FID,id,agency_code,region_code,national_fire_id,agency_fire_id,national_fire_cause,fire_type_ics,severity_nearest_dsr,fire_was_prescribed,percent_contained,fire_size,response_type,stage_of_control_status,situation_report_date,status_date,latitude,longitude,geometry,fire_year,status_year,record_start,record_end
cwfif_national_activefires.fid--40875994_1a0c27d3273_-75f,25210056,ON,SLK,2026_ON_SLK_FIRE_072,SLK_FIRE_072,N,-1,-1,0,-1,23597.1,MON,OC,2026-07-11T22:58:00,2026-09-17T17:00:00,51.8318,-92.1735,POINT (192831.041658 317658.857246),2026,2026,2026-09-18T19:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-75e,25072967,ON,THU,2026_ON_THU_FIRE_036,THU_FIRE_036,N,-1,-1,0,-1,301240.0,FUL,UC,2026-07-12T16:57:00,2026-09-17T16:00:00,50.6828,-89.468,POINT (388069.135669 203468.40243),2026,2026,2026-09-17T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-75d,24946481,ON,DRY,2026_ON_DRY_FIRE_034,DRY_FIRE_034,H,-1,-1,0,-1,45800.0,FUL,UC,2026-07-13T21:52:00,2026-09-16T16:52:00,49.9828,-90.1717,POINT (344682.236287 122190.944469),2026,2026,2026-09-16T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-75c,24946482,ON,DRY,2026_ON_DRY_FIRE_035,DRY_FIRE_035,H,-1,-1,0,-1,30158.6,FUL,UC,2026-07-13T22:07:00,2026-09-16T16:00:00,49.6301,-90.098,POINT (352944.307753 83599.757714),2026,2026,2026-09-16T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-75b,24939924,ON,NIP,2026_ON_NIP_FIRE_012,NIP_FIRE_012,N,-1,-1,0,-1,2821.0,FUL,UC,2026-06-25T21:42:00,2026-09-16T16:00:00,53.5811,-88.9357,POINT (394935.174526 524409.081626),2026,2026,2026-09-16T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-75a,24032565,ON,THU,2026_ON_THU_FIRE_056,THU_FIRE_056,N,-1,-1,0,-1,7947.0,FUL,UC,2026-07-13T20:15:00,2026-09-09T12:00:00,49.3898,-90.4402,POINT (330260.27365 55161.48002),2026,2026,2026-09-09T13:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-759,23436727,ON,FOR,2026_ON_FOR_FIRE_014,FOR_FIRE_014,N,-1,-1,0,-1,51928.3,FUL,UC,2026-06-30T21:24:00,2026-09-04T17:00:00,48.8934,-90.9869,POINT (294198.55843 -2573.291966),2026,2026,2026-09-04T20:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-758,22700383,ON,NIP,2026_ON_NIP_FIRE_107,NIP_FIRE_107,N,-1,-1,0,-1,0.1,MON,OC,2026-08-29T21:59:00,2026-08-29T22:00:00,50.1127,-88.6454,POINT (451887.11846 146086.166287),2026,2026,2026-08-29T23:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-757,21984638,ON,FOR,2026_ON_FOR_FIRE_015,FOR_FIRE_015,N,-1,-1,0,-1,42273.0,MON,OC,2026-06-30T23:23:00,2026-08-26T15:00:00,48.5429,-91.4154,POINT (265018.530477 -43407.693993),2026,2026,2026-08-24T01:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-756,21481164,ON,NIP,2026_ON_NIP_FIRE_075,NIP_FIRE_075,N,-1,-1,0,-1,40.0,MON,OC,2026-07-18T22:05:00,2026-07-19T23:00:00,51.9287,-86.0321,POINT (608489.107986 367012.647874),2026,2026,2026-08-19T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-755,21481163,ON,NIP,2026_ON_NIP_FIRE_074,NIP_FIRE_074,N,-1,-1,0,-1,15.0,MON,OC,2026-07-18T21:50:00,2026-07-19T23:00:00,52.6762,-86.1931,POINT (586287.450228 446920.820281),2026,2026,2026-08-19T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--40875994_1a0c27d3273_-754,21464850,ON,COC,2026_ON_COC_FIRE_043,COC_FIRE_043,N,-1,-1,0,-1,500.0,MON,OC,2026-07-16T15:20:00,2026-08-19T14:00:00,52.2668,-82.2551,POINT (854436.867247 447147.810639),2026,2026,2026-08-19T14:45:00,2026-12-31T23:59:59.999
