FID,id,agency_code,region_code,national_fire_id,agency_fire_id,national_fire_cause,fire_type_ics,severity_nearest_dsr,fire_was_prescribed,percent_contained,fire_size,response_type,stage_of_control_status,situation_report_date,status_date,latitude,longitude,geometry,fire_year,status_year,record_start,record_end
cwfif_national_activefires.fid-51f3f70_19fb6bfe035_7a18,19349833,SK,DB,2026_SK_26DB-MCINNIS,26DB-MCINNIS,N,-1,-1,0,-1,1537.0,MOD,OC,2026-06-25T19:15:00,2026-07-31T01:48:00,55.978,-102.6901,POINT (-468762.791777 795867.495304),2026,2026,2026-07-31T02:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fb6bfe035_7a19,19349781,SK,BN,2026_SK_26BN-GARSON,26BN-GARSON,N,-1,-1,0,-1,20.0,MOD,UC,2026-07-26T18:25:00,2026-07-31T01:49:00,56.2258,-109.7219,POINT (-885385.640989 897415.575077),2026,2026,2026-07-31T02:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fb6bfe035_7a1a,19346409,SK,LX,2026_SK_26LX-COSTIGAN,26LX-COSTIGAN,N,-1,-1,0,-1,20000.0,MOD,OC,2026-06-25T22:37:00,2026-07-31T00:41:00,56.89,-106.05,POINT (-654658.541388 923808.883607),2026,2026,2026-07-31T01:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fb6bfe035_7a1b,19346327,SK,LA,2026_SK_26LA-DOUGAL,26LA-DOUGAL,N,-1,-1,0,-1,2.0,FUL,UC,2026-07-29T19:42:00,2026-07-31T00:54:00,55.4939,-105.8183,POINT (-666809.186734 771555.078363),2026,2026,2026-07-31T01:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fb6bfe035_7a1c,19346416,SK,LX,2026_SK_26LX-KEELEY,26LX-KEELEY,U,-1,-1,0,-1,0.8,MOD,UC,2026-07-30T19:53:00,2026-07-31T00:43:00,54.8592,-108.1776,POINT (-824585.459936 731139.954013),2026,2026,2026-07-31T01:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fb6bfe035_7a1d,19341611,SK,LA,2026_SK_26LA-BURKE,26LA-BURKE,N,-1,-1,0,-1,0.2,MOD,OC,2026-07-30T23:30:00,2026-07-31T00:28:00,55.9556,-105.7007,POINT (-651197.051554 819960.544546),2026,2026,2026-07-31T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fb6bfe035_7a1e,19341485,SK,BN,2026_SK_26BN-ISLAND,26BN-ISLAND,N,-1,-1,0,-1,2.0,MOD,OC,2026-07-24T01:24:00,2026-07-30T23:42:00,56.5327,-108.4396,POINT (-802461.471902 913015.015913),2026,2026,2026-07-31T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fb6bfe035_7a1f,19341682,SK,LA,2026_SK_26LA-TOPP,26LA-TOPP,N,-1,-1,0,-1,10.0,MOD,OC,2026-07-29T19:27:00,2026-07-31T00:13:00,55.9682,-105.2783,POINT (-625499.756476 817081.514476),2026,2026,2026-07-31T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fb6bfe035_7a20,19341714,SK,LX,2026_SK_26LX-MCDONALD,26LX-MCDONALD,N,-1,-1,0,-1,12.0,FUL,OC,2026-07-13T22:49:00,2026-07-31T00:34:00,55.6557,-106.544,POINT (-707876.807109 796772.805852),2026,2026,2026-07-31T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fb6bfe035_7a21,19338179,SK,BR,2026_SK_26BR-CENTRAL,26BR-CENTRAL,N,-1,-1,0,-1,2.0,FUL,OC,2026-07-24T22:46:00,2026-07-30T23:27:00,54.5354,-106.7963,POINT (-745727.35476 679378.631195),2026,2026,2026-07-30T23:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fb6bfe035_7a22,19333920,SK,DB,2026_SK_26DB-HILL2,26DB-HILL2,N,-1,-1,0,-1,1.0,MOD,OC,2026-07-30T21:44:00,2026-07-31T01:47:00,55.915,-103.0383,POINT (-490744.09332 791683.359461),2026,2026,2026-07-30T22:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fb6bfe035_7a23,19329719,SK,LA,2026_SK_26LA-BOXALL,26LA-BOXALL,N,-1,-1,0,-1,2.0,MOD,OC,2026-07-30T21:17:00,2026-07-31T00:37:00,55.9277,-105.8725,POINT (-662070.811921 818742.889479),2026,2026,2026-07-30T21:45:00,2026-12-31T23:59:59.999
