FID,id,agency_code,region_code,national_fire_id,agency_fire_id,national_fire_cause,fire_type_ics,severity_nearest_dsr,fire_was_prescribed,percent_contained,fire_size,response_type,stage_of_control_status,situation_report_date,status_date,latitude,longitude,geometry,fire_year,status_year,record_start,record_end
cwfif_national_activefires.fid--22890ef1_19f7ef0fffc_7c92,18227069,YT,OT,2026_YT_2026OT001,2026OT001,U,-1,-1,0,-1,47.0,MOD,BH,2026-07-15T02:25:00,2026-07-19T04:41:00,59.7549,-129.1568,POINT (-1778419.085235 1667070.272417),2026,2026,2026-07-19T04:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--22890ef1_19f7ef0fffc_7c93,17937390,YT,OC,2026_YT_2026OC008,2026OC008,N,-1,-1,0,-1,25.0,MON,OC,2026-07-15T20:35:00,2026-07-15T20:38:00,66.0829,-136.3479,POINT (-1689903.809074 2431501.962822),2026,2026,2026-07-15T20:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--22890ef1_19f7ef0fffc_7c94,17765456,YT,OC,2026_YT_2026OC007,2026OC007,N,-1,-1,0,-1,10.0,MON,OC,2026-07-13T16:04:00,2026-07-13T16:46:00,66.8678,-140.0786,POINT (-1762019.1653 2598850.441523),2026,2026,2026-07-13T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--22890ef1_19f7ef0fffc_7c95,17638122,YT,DA,2026_YT_2026DA020,2026DA020,N,-1,-1,0,-1,4.0,MON,OC,2026-07-12T00:40:00,2026-07-12T00:49:00,65.1564,-137.8692,POINT (-1805098.076975 2394277.663266),2026,2026,2026-07-12T01:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--22890ef1_19f7ef0fffc_7c96,17631488,YT,OC,2026_YT_2026OC006,2026OC006,N,-1,-1,0,-1,50.0,MON,OC,2026-07-11T23:14:00,2026-07-11T23:22:00,66.1907,-139.6552,POINT (-1795609.800428 2531231.343763),2026,2026,2026-07-11T23:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--22890ef1_19f7ef0fffc_7c97,17321693,YT,MA,2026_YT_2026MA004,2026MA004,U,-1,-1,0,-1,80.0,FUL,OC,2026-06-30T18:42:00,2026-07-01T18:10:00,63.2732,-134.3952,POINT (-1797197.144732 2133373.439812),2026,2026,2026-07-07T18:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--22890ef1_19f7ef0fffc_7c98,16984371,YT,DA,2026_YT_2026DA018,2026DA018,N,-1,-1,0,-1,14.0,MON,OC,2026-06-25T00:34:00,2026-07-02T23:47:00,64.3282,-140.9694,POINT (-1972272.494237 2417760.061847),2026,2026,2026-07-03T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--22890ef1_19f7ef0fffc_7c99,16984368,YT,DA,2026_YT_2026DA015,2026DA015,N,-1,-1,0,-1,4.0,MON,OC,2026-06-22T20:47:00,2026-07-02T23:49:00,63.7149,-138.5275,POINT (-1926879.726872 2292358.954179),2026,2026,2026-07-03T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--22890ef1_19f7ef0fffc_7c9a,16600614,YT,MA,2026_YT_2026MA003,2026MA003,N,-1,-1,0,-1,35.0,FUL,UC,2026-06-21T22:49:00,2026-06-26T22:42:00,64.082,-135.79,POINT (-1799749.660378 2243427.801957),2026,2026,2026-06-26T22:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--22890ef1_19f7ef0fffc_7c9b,16534619,YT,XY,2026_YT_2026XY017,2026XY017,U,-1,-1,0,-1,5.0,MON,OC,2026-06-25T04:06:00,2026-06-25T15:58:00,61.5533,-134.9428,POINT (-1928061.40026 1998480.705612),2026,2026,2026-06-25T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid--22890ef1_19f7ef0fffc_7c9c,16489440,YT,OC,2026_YT_2026OC005,2026OC005,N,-1,-1,0,-1,1.5,MON,OC,2026-06-24T00:28:00,2026-06-24T18:31:00,66.9742,-140.5171,POINT (-1768587.736127 2619744.796857),2026,2026,2026-06-24T18:45:00,2026-12-31T23:59:59.999
