Location,Observed,Latitude,Longitude,Risk,Label
"Castlegar, bc, Canada",Low Risk,49.3237408,-117.6593341,Low (1-3),Castlegar
"Central Fraser Valley, bc, Canada",Moderate Risk,49.3764104,-121.8159307,Moderate (4-6),Central Fraser Valley
"Central Okanagan, bc, Canada",Low Risk,49.9473663,-119.5588209,Low (1-3),Central Okanagan
"Comox Valley, bc, Canada",Low Risk,49.6735133,-124.9282659,Low (1-3),Comox Valley
"Cranbrook, bc, Canada",Low Risk,49.5129678,-115.7694002,Low (1-3),Cranbrook
"Duncan, bc, Canada",Low Risk,48.7786908,-123.7079416,Low (1-3),Duncan
"Eastern Fraser Valley, bc, Canada",Low Risk,49.3764104,-121.8159307,Low (1-3),Eastern Fraser Valley
"Fort St. John, bc, Canada",Low Risk,56.252423,-120.846409,Low (1-3),Fort St. John
"Kamloops, bc, Canada",Low Risk,50.674522,-120.3272674,Low (1-3),Kamloops
"Kitimat, bc, Canada",Low Risk,54.0632661,-128.637191,Low (1-3),Kitimat
"Metro Vancouver - NE, bc, Canada",Moderate Risk,49.3224696,-122.8568391,Moderate (4-6),Metro Vancouver - NE
"Metro Vancouver - NW, bc, Canada",Low Risk,49.2057179,-122.910956,Low (1-3),Metro Vancouver - NW
"Metro Vancouver - SE, bc, Canada",Moderate Risk,49.3224696,-122.8568391,Moderate (4-6),Metro Vancouver - SE
"Metro Vancouver - SW, bc, Canada",Low Risk,49.3224696,-122.8568391,Low (1-3),Metro Vancouver - SW
"Nanaimo, bc, Canada",Low Risk,49.1658836,-123.9400647,Low (1-3),Nanaimo
"North Okanagan, bc, Canada",Low Risk,50.3398977,-118.7840936,Low (1-3),North Okanagan
"Prince George, bc, Canada",Low Risk,53.9170641,-122.7496693,Low (1-3),Prince George
"Quesnel, bc, Canada",Low Risk,52.9817372,-122.4949058,Low (1-3),Quesnel
"Smithers, bc, Canada",Low Risk,54.782355,-127.1685541,Low (1-3),Smithers
"South Okanagan, bc, Canada",Low Risk,53.7266683,-127.6476206,Low (1-3),South Okanagan
"Sparwood, bc, Canada",Low Risk,49.7308665,-114.8861593,Low (1-3),Sparwood
"Squamish, bc, Canada",Low Risk,49.7016339,-123.1558121,Low (1-3),Squamish
"Terrace, bc, Canada",Low Risk,54.5181925,-128.603154,Low (1-3),Terrace
"Victoria/Saanich, bc, Canada",Low Risk,48.4284207,-123.3656444,Low (1-3),Victoria/Saanich
"WestShore, bc, Canada",Low Risk,48.4474626,-123.4956337,Low (1-3),WestShore
"Whistler, bc, Canada",Low Risk,50.1161686,-122.9535117,Low (1-3),Whistler
"Williams Lake, bc, Canada",Low Risk,52.1416736,-122.1416885,Low (1-3),Williams Lake
"Airdrie, ab, Canada",Low Risk,51.2926968,-114.0134113,Low (1-3),Airdrie
"Brooks, ab, Canada",Low Risk,50.56538876,-111.897462,Low (1-3),Brooks
"Calgary, ab, Canada",Low Risk,51.0447331,-114.0718831,Low (1-3),Calgary
"Cold Lake, ab, Canada",Low Risk,54.464249,-110.1731779,Low (1-3),Cold Lake
