Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast,Latitude,Longitude,Risk,Label
"Castlegar, bc, Canada",Low Risk,3.0,3.0,2.0,2.0,49.3237408,-117.6593341,Low (1-3),Castlegar
"Central Fraser Valley, bc, Canada",Low Risk,3.0,3.0,3.0,3.0,49.3764104,-121.8159307,Low (1-3),Central Fraser Valley
"Central Okanagan, bc, Canada",Moderate Risk,3.0,3.0,2.0,2.0,49.9473663,-119.5588209,Low (1-3),Central Okanagan
"Comox Valley, bc, Canada",Low Risk,2.0,2.0,2.0,2.0,49.6735133,-124.9282659,Low (1-3),Comox Valley
"Cranbrook, bc, Canada",Low Risk,3.0,2.0,2.0,2.0,49.5129678,-115.7694002,Low (1-3),Cranbrook
"Duncan, bc, Canada",Low Risk,2.0,2.0,2.0,2.0,48.7786908,-123.7079416,Low (1-3),Duncan
"Eastern Fraser Valley, bc, Canada",Low Risk,3.0,3.0,3.0,3.0,49.3764104,-121.8159307,Low (1-3),Eastern Fraser Valley
"Fort St. John, bc, Canada",Low Risk,3.0,3.0,2.0,2.0,56.252423,-120.846409,Low (1-3),Fort St. John
"Kamloops, bc, Canada",Moderate Risk,4.0,3.0,3.0,2.0,50.674522,-120.3272674,Moderate (4-6),Kamloops
"Kitimat, bc, Canada",Low Risk,2.0,2.0,2.0,2.0,54.0632661,-128.637191,Low (1-3),Kitimat
"Metro Vancouver - NE, bc, Canada",Moderate Risk,2.0,2.0,2.0,2.0,49.3224696,-122.8568391,Low (1-3),Metro Vancouver - NE
"Metro Vancouver - NW, bc, Canada",Low Risk,2.0,2.0,2.0,2.0,49.2057179,-122.910956,Low (1-3),Metro Vancouver - NW
"Metro Vancouver - SE, bc, Canada",Low Risk,2.0,2.0,2.0,2.0,49.3224696,-122.8568391,Low (1-3),Metro Vancouver - SE
"Metro Vancouver - SW, bc, Canada",Low Risk,2.0,2.0,2.0,2.0,49.3224696,-122.8568391,Low (1-3),Metro Vancouver - SW
"Nanaimo, bc, Canada",Low Risk,2.0,2.0,2.0,2.0,49.1658836,-123.9400647,Low (1-3),Nanaimo
"North Okanagan, bc, Canada",Low Risk,3.0,3.0,2.0,2.0,50.3398977,-118.7840936,Low (1-3),North Okanagan
"Prince George, bc, Canada",Low Risk,3.0,3.0,2.0,2.0,53.9170641,-122.7496693,Low (1-3),Prince George
"Quesnel, bc, Canada",Low Risk,3.0,3.0,2.0,2.0,52.9817372,-122.4949058,Low (1-3),Quesnel
"Smithers, bc, Canada",Low Risk,3.0,3.0,2.0,2.0,54.782355,-127.1685541,Low (1-3),Smithers
"South Okanagan, bc, Canada",Moderate Risk,3.0,3.0,2.0,2.0,53.7266683,-127.6476206,Low (1-3),South Okanagan
"Sparwood, bc, Canada",Low Risk,3.0,2.0,2.0,2.0,49.7308665,-114.8861593,Low (1-3),Sparwood
"Squamish, bc, Canada",Low Risk,2.0,2.0,2.0,2.0,49.7016339,-123.1558121,Low (1-3),Squamish
"Terrace, bc, Canada",Low Risk,2.0,2.0,2.0,2.0,54.5181925,-128.603154,Low (1-3),Terrace
"Victoria/Saanich, bc, Canada",Low Risk,2.0,2.0,2.0,3.0,48.4284207,-123.3656444,Low (1-3),Victoria/Saanich
"WestShore, bc, Canada",Low Risk,2.0,2.0,2.0,3.0,48.4474626,-123.4956337,Low (1-3),WestShore
"Whistler, bc, Canada",Low Risk,3.0,3.0,2.0,2.0,50.1161686,-122.9535117,Low (1-3),Whistler
"Williams Lake, bc, Canada",Low Risk,2.0,2.0,1.0,1.0,52.1416736,-122.1416885,Low (1-3),Williams Lake
"Airdrie, ab, Canada",Low Risk,4,4,4.0,4.0,51.2926968,-114.0134113,Moderate (4-6),Airdrie
"Brooks, ab, Canada",Low Risk,3,3,3.0,3.0,50.56538876,-111.897462,Low (1-3),Brooks
"Calgary, ab, Canada",Moderate Risk,4,4,4.0,4.0,51.0447331,-114.0718831,Moderate (4-6),Calgary
"Cold Lake, ab, Canada",Moderate Risk,3,3,2.0,2.0,54.464249,-110.1731779,Low (1-3),Cold Lake
"Drayton Valley, ab, Canada",Low Risk,3,3,3.0,3.0,53.2214945,-114.976746,Low (1-3),Drayton Valley
"Edmonton, ab, Canada",Low Risk,4,4,4.0,4.0,53.5460983,-113.4937266,Moderate (4-6),Edmonton
"Edson, ab, Canada",Low Risk,3,3,3.0,3.0,53.585422,-116.4337219,Low (1-3),Edson
"Fort Chipewyan, ab, Canada",Very High Risk,10+,10+,4.0,4.0,58.7133284,-111.1574916,Very high (10+),Fort Chipewyan
"Fort McKay, ab, Canada",Low Risk,2,2,3.0,2.0,57.186758,-111.636785,Low (1-3),Fort McKay
"Fort McMurray, ab, Canada",Low Risk,2,2,3.0,2.0,56.7266231,-111.3790095,Low (1-3),Fort McMurray
"Fort Saskatchewan, ab, Canada",Low Risk,3,2,3.0,3.0,53.6962239,-113.2163654,Low (1-3),Fort Saskatchewan
"Genesee, ab, Canada",Low Risk,4,4,3.0,3.0,53.34453394,-114.3267988,Moderate (4-6),Genesee
"Grande Prairie, ab, Canada",Moderate Risk,3,3,2.0,2.0,55.170691,-118.7884808,Low (1-3),Grande Prairie
"Hinton, ab, Canada",Low Risk,3,3,2.0,2.0,53.399067,-117.5794057,Low (1-3),Hinton
"Lamont County, ab, Canada",Low Risk,3,2,3.0,3.0,53.7901566,-112.5577641,Low (1-3),Lamont County
"Lethbridge, ab, Canada",Low Risk,3,3,3.0,3.0,49.6956181,-112.8451067,Low (1-3),Lethbridge
"Medicine Hat, ab, Canada",Low Risk,4,4,3.0,3.0,50.0290218,-110.7031976,Moderate (4-6),Medicine Hat
