Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed
Location and sub-locations,Observed Conditions,Wednesday,Wednesday night,Thursday,Thursday night,Unnamed: 6_level_1,,
Airdrie,3 Low Risk,3 Low Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Airdrie, ab, Canada",Low Risk
Brooks,4 Moderate Risk,5 Moderate Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Brooks, ab, Canada",Moderate Risk
Calgary,3 Low Risk,3 Low Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Calgary, ab, Canada",Low Risk
Cold Lake,2 Low Risk,6 Moderate Risk,7 High Risk,7 High Risk,3 Low Risk,,"Cold Lake, ab, Canada",Low Risk
Drayton Valley,2 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Drayton Valley, ab, Canada",Low Risk
Edmonton,4 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Edmonton, ab, Canada",Moderate Risk
Edson,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Edson, ab, Canada",Low Risk
Fort Chipewyan,2 Low Risk,2 Low Risk,3 Low Risk,7 High Risk,4 Moderate Risk,,"Fort Chipewyan, ab, Canada",Low Risk
Fort McKay,5 Moderate Risk,6 Moderate Risk,7 High Risk,7 High Risk,3 Low Risk,,"Fort McKay, ab, Canada",Moderate Risk
Fort McMurray,2 Low Risk,6 Moderate Risk,7 High Risk,7 High Risk,3 Low Risk,,"Fort McMurray, ab, Canada",Low Risk
Fort Saskatchewan,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Fort Saskatchewan, ab, Canada",Moderate Risk
Genesee,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Genesee, ab, Canada",Low Risk
Grande Prairie,2 Low Risk,5 Moderate Risk  except *10+ very high risk in Smoke,3 Low Risk  except *10+ very high risk in Smoke,2 Low Risk  except *10+ very high risk in Smoke,2 Low Risk  except *10+ very high risk in Smoke,,"Grande Prairie, ab, Canada",Low Risk
Hinton,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Hinton, ab, Canada",Low Risk
Lamont County,5 Moderate Risk,4 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Lamont County, ab, Canada",Moderate Risk
Lethbridge,4 Moderate Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Lethbridge, ab, Canada",Moderate Risk
Medicine Hat,4 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Medicine Hat, ab, Canada",Moderate Risk
Red Deer,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Red Deer, ab, Canada",Low Risk
St. Albert,3 Low Risk,4 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"St. Albert, ab, Canada",Low Risk
Strathcona County,3 Low Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Strathcona County, ab, Canada",Low Risk
Sturgeon County,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Sturgeon County, ab, Canada",Moderate Risk
Wood Buffalo - south,2 Low Risk,6 Moderate Risk,7 High Risk,7 High Risk,3 Low Risk,,"Wood Buffalo - south, ab, Canada",Low Risk
