lat,lon,hectares,stage_of_control
63.17232895,-120.81365204,5.9204545,Unknown
51.58666992,-78.32337952,,Unknown
51.60284805,-78.24327087,4.01136398,Unknown
51.6054306,-78.22698212,4.01136398,Unknown
66.52765656,-118.21315765,5.9204545,Unknown
66.53262329,-118.20654297,3.74147725,Unknown
65.59184265,-119.10669708,2.28882575,Unknown
50.78347015,-89.38783264,5.846591,Unknown
50.85385132,-89.32073212,5.846591,Unknown
50.76522827,-89.34957886,5.846591,Unknown
50.78927994,-89.67816162,5.846591,Unknown
50.48905945,-89.24878693,5.846591,Unknown
56.16722107,-103.02546692,7.528409,Unknown
66.33545685,-117.32723236,0.0,Unknown
66.35502625,-117.25879669,4.16477251,Unknown
65.54940033,-116.82805634,4.16477251,Unknown
65.86327362,-114.51743317,2.58522749,Unknown
63.62491989,-119.80510712,5.9204545,Unknown
50.59328842,-89.47702789,0.0,Unknown
50.11238098,-89.94605255,5.846591,Unknown
50.50905991,-89.37358093,5.846591,Unknown
51.85786057,-91.07874298,5.846591,Unknown
54.66049957,-104.74353027,7.13636351,Unknown
54.68453979,-104.64399719,7.13636351,Unknown
54.68233109,-104.65878296,7.13636351,Unknown
55.45500183,-102.07254791,0.0,Unknown
55.41986847,-102.12814331,7.528409,Unknown
55.41781998,-102.14454651,7.528409,Unknown
55.4096489,-102.20999146,7.528409,Unknown
55.4076004,-102.22631836,7.528409,Unknown
61.9138298,-102.91052246,4.16477251,Unknown
54.90259933,-111.33467102,5.784091,Unknown
51.6493187,-78.19644165,4.01136398,Unknown
51.64527893,-78.22416687,5.81250048,Unknown
51.64123917,-78.25187683,4.6117425,Unknown
50.93552017,-78.89450073,9.41477299,Unknown
51.47832108,-78.33811188,9.41477299,Unknown
51.69036865,-78.22672272,9.41477299,Unknown
51.74641037,-78.41487122,9.41477299,Unknown
51.74436951,-78.42874908,9.41477299,Unknown
50.05854034,-89.93132019,5.846591,Unknown
50.04933167,-89.96605682,5.846591,Unknown
50.02503967,-90.11495972,5.846591,Unknown
51.46648026,-89.63597107,5.846591,Unknown
51.45851898,-89.66690063,5.846591,Unknown
51.45050049,-89.69802094,5.846591,Unknown
51.46268082,-89.70610046,5.846591,Unknown
51.49077988,-89.65197754,5.846591,Unknown
63.21839905,-112.9026413,0.0,Unknown
64.03421783,-110.86489105,4.16477251,Unknown
63.26192856,-112.88189697,4.16477251,Unknown
62.31248093,-121.0388031,5.9204545,Unknown
62.33705902,-120.99289703,5.9204545,Unknown
62.32979965,-121.02168274,5.9204545,Unknown
62.2073288,-121.45004272,5.9204545,Unknown
62.21752167,-121.46206665,5.9204545,Unknown
63.7641983,-120.01260376,3.0151515,Unknown
63.30619049,-121.92723083,3.74147725,Unknown
63.38378143,-122.18856049,5.9204545,Unknown
63.48075104,-121.85507202,5.9204545,Unknown
63.37654114,-122.21701813,5.9204545,Unknown
