FID,id,agency_code,region_code,national_fire_id,agency_fire_id,national_fire_cause,fire_type_ics,severity_nearest_dsr,fire_was_prescribed,percent_contained,fire_size,response_type,stage_of_control_status,situation_report_date,status_date,latitude,longitude,geometry,fire_year,status_year,record_start,record_end
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3306,17982420,NL,,2026_NL_639,639,N,-1,-1,0,-1,300.0,FUL,BH,2026-07-08T02:30:00,2026-07-16T13:45:00,52.9889,-67.3467,POINT (1774716.79383 832590.173868),2026,2026,2026-07-16T09:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3305,17899080,NL,,2026_NL_610,610,N,-1,-1,0,-1,5573.7,MON,UC,2026-06-26T02:30:00,2026-07-16T13:45:00,53.7717,-61.2336,POINT (2089788.287341 1094557.641388),2026,2026,2026-07-15T09:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3304,17899098,NL,,2026_NL_628,628,N,-1,-1,0,-1,1723.0,FUL,UC,2026-06-29T02:30:00,2026-07-16T13:45:00,53.6475,-64.5819,POINT (1905860.074335 977449.175536),2026,2026,2026-07-15T09:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3303,17899099,NL,,2026_NL_629,629,N,-1,-1,0,-1,540.0,FUL,UC,2026-06-29T02:30:00,2026-07-16T13:45:00,53.5904,-64.2635,POINT (1927148.662433 981494.44835),2026,2026,2026-07-15T09:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3302,17899051,NL,,2026_NL_151,151,H,-1,-1,0,-1,1.0,MON,BH,2026-07-14T02:30:00,2026-07-16T13:45:00,47.5209,-53.7972,POINT (2907948.885773 811279.457278),2026,2026,2026-07-15T09:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3301,17899106,NL,,2026_NL_638,638,N,-1,-1,0,-1,6.0,FUL,UC,2026-07-08T02:30:00,2026-07-16T13:45:00,53.3091,-57.663,POINT (2314299.686721 1175196.607108),2026,2026,2026-07-15T09:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3300,17821192,NL,,2026_NL_622,622,N,-1,-1,0,-1,682.0,FUL,UC,2026-06-29T02:30:00,2026-07-16T13:45:00,52.9107,-67.0869,POINT (1793959.211506 832098.815761),2026,2026,2026-07-14T10:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-32ff,17821191,NL,,2026_NL_621,621,N,-1,-1,0,-1,3748.0,MON,OC,2026-06-28T02:30:00,2026-07-16T13:45:00,54.3886,-62.1255,POINT (2006303.347619 1124311.129926),2026,2026,2026-07-14T10:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-32fe,17509892,NL,,2026_NL_636,636,N,-1,-1,0,-1,1300.0,FUL,OC,2026-07-07T02:30:00,2026-07-16T13:45:00,52.349,-65.799,POINT (1898328.347917 813869.883558),2026,2026,2026-07-10T09:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-32fd,17509877,NL,,2026_NL_618,618,N,-1,-1,0,-1,7765.0,MON,OC,2026-06-27T02:30:00,2026-07-16T13:45:00,55.4395,-61.6383,POINT (1975791.851554 1239149.509519),2026,2026,2026-07-10T09:45:00,2026-12-31T23:59:59.999
