FID,id,agency_code,region_code,national_fire_id,agency_fire_id,national_fire_cause,fire_type_ics,severity_nearest_dsr,fire_was_prescribed,percent_contained,fire_size,response_type,stage_of_control_status,situation_report_date,status_date,latitude,longitude,geometry,fire_year,status_year,record_start,record_end
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3182,17949600,PC,WB,2026_PC_2026WB23,2026WB23,N,5,-1,0,-1,3.5,FUL,OC,2026-07-16T02:17:00,2026-07-15T06:00:00,58.8847,-113.9608,POINT (-1048733.092956 1240912.669476),2026,2026,2026-07-16T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3181,17926407,PC,WB,2026_PC_2026WB4,2026WB4,N,2,-1,0,-1,51780.0,FUL,UC,2026-05-22T00:16:00,2026-05-31T06:00:00,60.354,-113.1068,POINT (-958105.809475 1379920.759628),2026,2026,2026-07-15T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3180,17926412,PC,WB,2026_PC_2026WB9,2026WB9,N,3,-1,0,-1,760.0,MOD,UC,2026-05-30T17:38:00,2026-05-30T06:00:00,60.5578,-113.0924,POINT (-951173.869533 1400877.786091),2026,2026,2026-07-15T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-317f,17926398,PC,WB,2026_PC_2026WB16,2026WB16,N,5,-1,0,-1,2707.0,MOD,OC,2026-06-25T01:01:00,2026-06-25T06:00:00,58.9558,-113.6464,POINT (-1029620.975563 1243151.357728),2026,2026,2026-07-15T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-317e,17926406,PC,WB,2026_PC_2026WB3,2026WB3,N,5,-1,0,-1,2.2,FUL,UC,2026-05-22T00:07:00,2026-05-21T06:00:00,60.3469,-113.1578,POINT (-960947.27942 1379952.522507),2026,2026,2026-07-15T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-317d,17917967,PC,WB,2026_PC_2026WB22,2026WB22,N,5,-1,0,-1,1.5,FUL,UC,2026-07-13T02:49:00,2026-07-12T06:00:00,60.0181,-113.5006,POINT (-988788.79664 1351073.929258),2026,2026,2026-07-15T15:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-317c,17770606,PC,WP,2026_PC_2026WP3,2026WP3,N,5,-1,0,-1,65.0,MON,OC,2026-07-04T03:03:00,2026-07-04T05:00:00,58.46,-93.7,POINT (73916.234055 1038120.187884),2026,2026,2026-07-13T19:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-317b,17459187,PC,WB,2026_PC_2026WB17,2026WB17,N,5,-1,0,-1,15065.0,MOD,OC,2026-06-26T01:04:00,2026-06-25T06:00:00,60.0874,-113.9371,POINT (-1009231.647993 1365111.477412),2026,2026,2026-07-09T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-317a,17459189,PC,WB,2026_PC_2026WB19,2026WB19,N,5,-1,0,-1,20134.0,MOD,OC,2026-06-26T01:12:00,2026-06-25T06:00:00,60.209,-113.3417,POINT (-974655.491581 1368431.451881),2026,2026,2026-07-09T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3179,17458154,PC,WB,2026_PC_2026WB20,2026WB20,N,4,-1,0,-1,11984.0,FUL,OC,2026-06-26T16:22:00,2026-06-26T06:00:00,60.116,-112.8568,POINT (-952368.582301 1351421.313583),2026,2026,2026-07-09T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3178,17451333,PC,SE,2026_PC_2026SE4,2026SE4,N,5,-1,0,-1,260.0,MON,OC,2026-07-08T15:50:00,2026-07-09T06:00:00,64.9034,-121.7069,POINT (-1190204.939524 1988111.363235),2026,2026,2026-07-09T14:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3177,17399430,PC,SE,2026_PC_2026SE3,2026SE3,N,5,-1,0,-1,2300.0,MON,OC,2026-06-28T16:24:00,2026-07-08T06:00:00,66.156,-122.4975,POINT (-1166507.16659 2126086.135705),2026,2026,2026-07-08T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3176,17399429,PC,SE,2026_PC_2026SE2,2026SE2,N,5,-1,0,-1,3000.0,MON,OC,2026-06-26T23:44:00,2026-07-08T06:00:00,65.1599,-121.5504,POINT (-1172401.072307 2010537.203636),2026,2026,2026-07-08T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3175,17399415,PC,MM,2026_PC_2026MM1,2026MM1,N,1,-1,0,-1,1089.0,MON,OC,2026-07-01T16:40:00,2026-07-08T03:00:00,53.9166,-57.5053,POINT (2285905.478194 1236286.455816),2026,2026,2026-07-08T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3174,16895580,PC,WB,2026_PC_2026WB14,2026WB14,N,4,-1,0,-1,2405.0,FUL,OC,2026-06-24T17:09:00,2026-06-28T06:00:00,60.3429,-113.7093,POINT (-989425.646332 1387993.00435),2026,2026,2026-07-01T18:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3173,16892048,PC,WB,2026_PC_2026WB7,2026WB7,N,5,-1,0,-1,42.0,MOD,OC,2026-05-28T23:43:00,2026-05-30T06:00:00,59.2882,-113.6355,POINT (-1018629.447244 1277473.529064),2026,2026,2026-07-01T17:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3172,16711822,PC,,2026_PC_2026NA3,2026NA3,N,5,-1,0,-1,56.0,MON,OC,2026-06-26T00:34:00,2026-06-28T06:00:00,61.8886,-124.8073,POINT (-1465871.145667 1758540.417064),2026,2026,2026-06-28T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3171,16711821,PC,,2026_PC_2026NA2,2026NA2,N,5,-1,0,-1,146.0,MON,OC,2026-06-25T17:44:00,2026-06-28T06:00:00,61.6639,-124.0087,POINT (-1440102.187046 1718549.799124),2026,2026,2026-06-28T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-3170,16711820,PC,,2026_PC_2026NA1,2026NA1,N,5,-1,0,-1,68.0,MON,OC,2026-06-15T00:22:00,2026-06-28T06:00:00,61.1535,-125.0664,POINT (-1513851.574944 1693749.842138),2026,2026,2026-06-28T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-50fc4393_19f6b347577_-316f,16653008,PC,SE,2026_PC_2026SE1,2026SE1,N,5,-1,0,-1,897.0,MON,OC,2026-06-24T23:28:00,2026-06-24T23:28:00,65.2811,-121.1131,POINT (-1148968.922389 2014552.936558),2026,2026,2026-06-27T21:45:00,2026-12-31T23:59:59.999
