Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed
Location and sub-locations,Observed Conditions,Wednesday,Wednesday night,Thursday,Thursday night,Unnamed: 6_level_1,,
Castlegar,1 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Castlegar, bc, Canada",Low Risk
Central Fraser Valley,2 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Central Fraser Valley, bc, Canada",Low Risk
Central Okanagan,3 Low Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"Central Okanagan, bc, Canada",Low Risk
Comox Valley,1 Low Risk,2 Low Risk,3 Low Risk,2 Low Risk,1 Low Risk,,"Comox Valley, bc, Canada",Low Risk
Cranbrook,1 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,,"Cranbrook, bc, Canada",Low Risk
Duncan,1 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Duncan, bc, Canada",Low Risk
Eastern Fraser Valley,2 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Eastern Fraser Valley, bc, Canada",Low Risk
Fort St. John,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Fort St. John, bc, Canada",Low Risk
Kamloops,3 Low Risk,4 Moderate Risk  except *8 high risk in Smoke,4 Moderate Risk  except *8 high risk in Smoke,4 Moderate Risk  except *8 high risk in Smoke,3 Low Risk  except *8 high risk in Smoke,,"Kamloops, bc, Canada",Low Risk
Kitimat,2 Low Risk,1 Low Risk,1 Low Risk,2 Low Risk,2 Low Risk,,"Kitimat, bc, Canada",Low Risk
Metro Vancouver - NE,2 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Metro Vancouver - NE, bc, Canada",Low Risk
Metro Vancouver - NW,2 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Metro Vancouver - NW, bc, Canada",Low Risk
Metro Vancouver - SE,2 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Metro Vancouver - SE, bc, Canada",Low Risk
Metro Vancouver - SW,2 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Metro Vancouver - SW, bc, Canada",Low Risk
Nanaimo,2 Low Risk,2 Low Risk,3 Low Risk,2 Low Risk,1 Low Risk,,"Nanaimo, bc, Canada",Low Risk
North Okanagan,2 Low Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"North Okanagan, bc, Canada",Low Risk
Prince George,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Prince George, bc, Canada",Low Risk
Quesnel,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Quesnel, bc, Canada",Low Risk
Smithers,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Smithers, bc, Canada",Low Risk
South Okanagan,2 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"South Okanagan, bc, Canada",Low Risk
Sparwood,,3 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,,"Sparwood, bc, Canada",
Squamish,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Squamish, bc, Canada",Low Risk
Terrace,1 Low Risk,1 Low Risk,1 Low Risk,2 Low Risk,2 Low Risk,,"Terrace, bc, Canada",Low Risk
Victoria/Saanich,2 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Victoria/Saanich, bc, Canada",Low Risk
WestShore,1 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"WestShore, bc, Canada",Low Risk
Whistler,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Whistler, bc, Canada",Low Risk
Williams Lake,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Williams Lake, bc, Canada",Low Risk
