Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast
Location and sub-locations,Observed Conditions,Friday,Friday night,Saturday,Saturday night,Unnamed: 6_level_1,,,,,,
Castlegar,2 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Castlegar, bc, Canada",Low,3,3,2,2
Central Fraser Valley,1 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Central Fraser Valley, bc, Canada",Low,3,3,3,3
Central Okanagan,3 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Central Okanagan, bc, Canada",Low,3,3,2,2
Comox Valley,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Comox Valley, bc, Canada",Low,2,2,2,2
Cranbrook,2 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Cranbrook, bc, Canada",Low,3,2,2,2
Duncan,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Duncan, bc, Canada",Low,2,2,2,2
Eastern Fraser Valley,1 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Eastern Fraser Valley, bc, Canada",Low,3,3,3,3
Fort St. John,1 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Fort St. John, bc, Canada",Low,3,3,2,2
Kamloops,4 Moderate Risk,4 Moderate Risk  except *7 high risk in Smoke,3 Low Risk,3 Low Risk,2 Low Risk,,"Kamloops, bc, Canada",Moderate,4,3,3,2
Kitimat,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Kitimat, bc, Canada",Low,2,2,2,2
Metro Vancouver - NE,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Metro Vancouver - NE, bc, Canada",Low,2,2,2,2
Metro Vancouver - NW,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Metro Vancouver - NW, bc, Canada",Low,2,2,2,2
Metro Vancouver - SE,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Metro Vancouver - SE, bc, Canada",Low,2,2,2,2
Metro Vancouver - SW,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Metro Vancouver - SW, bc, Canada",Low,2,2,2,2
Nanaimo,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Nanaimo, bc, Canada",Low,2,2,2,2
North Okanagan,3 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"North Okanagan, bc, Canada",Low,3,3,2,2
Prince George,3 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Prince George, bc, Canada",Low,3,3,2,2
Quesnel,4 Moderate Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Quesnel, bc, Canada",Moderate,3,3,2,2
Smithers,2 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Smithers, bc, Canada",Low,3,3,2,2
South Okanagan,1 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"South Okanagan, bc, Canada",Low,3,3,2,2
Sparwood,2 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Sparwood, bc, Canada",Low,3,2,2,2
Squamish,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Squamish, bc, Canada",Low,2,2,2,2
Terrace,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,,"Terrace, bc, Canada",Low,2,2,2,2
Victoria/Saanich,2 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,,"Victoria/Saanich, bc, Canada",Low,2,2,2,3
WestShore,1 Low Risk,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,,"WestShore, bc, Canada",Low,2,2,2,3
Whistler,1 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Whistler, bc, Canada",Low,3,3,2,2
Williams Lake,3 Low Risk,2 Low Risk,2 Low Risk,1 Low Risk,1 Low Risk,,"Williams Lake, bc, Canada",Low,2,2,1,1
