Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast,Latitude,Longitude,Risk,Label
"Castlegar, bc, Canada",Low,3.0,3.0,2.0,2.0,49.3237408,-117.6593341,,Castlegar
"Central Fraser Valley, bc, Canada",Low,3.0,3.0,3.0,3.0,49.3764104,-121.8159307,,Central Fraser Valley
"Central Okanagan, bc, Canada",Low,3.0,3.0,2.0,2.0,49.9473663,-119.5588209,,Central Okanagan
"Comox Valley, bc, Canada",Low,2.0,2.0,2.0,2.0,49.6735133,-124.9282659,,Comox Valley
"Cranbrook, bc, Canada",Low,3.0,2.0,2.0,2.0,49.5129678,-115.7694002,,Cranbrook
"Duncan, bc, Canada",Low,2.0,2.0,2.0,2.0,48.7786908,-123.7079416,,Duncan
"Eastern Fraser Valley, bc, Canada",Low,3.0,3.0,3.0,3.0,49.3764104,-121.8159307,,Eastern Fraser Valley
"Fort St. John, bc, Canada",Low,3.0,3.0,2.0,2.0,56.252423,-120.846409,,Fort St. John
"Kamloops, bc, Canada",Moderate,4.0,3.0,3.0,2.0,50.674522,-120.3272674,,Kamloops
"Kitimat, bc, Canada",Low,2.0,2.0,2.0,2.0,54.0632661,-128.637191,,Kitimat
"Metro Vancouver - NE, bc, Canada",Low,2.0,2.0,2.0,2.0,49.3224696,-122.8568391,,Metro Vancouver - NE
"Metro Vancouver - NW, bc, Canada",Low,2.0,2.0,2.0,2.0,49.2057179,-122.910956,,Metro Vancouver - NW
"Metro Vancouver - SE, bc, Canada",Low,2.0,2.0,2.0,2.0,49.3224696,-122.8568391,,Metro Vancouver - SE
"Metro Vancouver - SW, bc, Canada",Low,2.0,2.0,2.0,2.0,49.3224696,-122.8568391,,Metro Vancouver - SW
"Nanaimo, bc, Canada",Low,2.0,2.0,2.0,2.0,49.1658836,-123.9400647,,Nanaimo
"North Okanagan, bc, Canada",Low,3.0,3.0,2.0,2.0,50.3398977,-118.7840936,,North Okanagan
"Prince George, bc, Canada",Low,3.0,3.0,2.0,2.0,53.9170641,-122.7496693,,Prince George
"Quesnel, bc, Canada",Moderate,3.0,3.0,2.0,2.0,52.9817372,-122.4949058,,Quesnel
"Smithers, bc, Canada",Low,3.0,3.0,2.0,2.0,54.782355,-127.1685541,,Smithers
"South Okanagan, bc, Canada",Low,3.0,3.0,2.0,2.0,53.7266683,-127.6476206,,South Okanagan
"Sparwood, bc, Canada",Low,3.0,2.0,2.0,2.0,49.7308665,-114.8861593,,Sparwood
"Squamish, bc, Canada",Low,2.0,2.0,2.0,2.0,49.7016339,-123.1558121,,Squamish
"Terrace, bc, Canada",Low,2.0,2.0,2.0,2.0,54.5181925,-128.603154,,Terrace
"Victoria/Saanich, bc, Canada",Low,2.0,2.0,2.0,3.0,48.4284207,-123.3656444,,Victoria/Saanich
"WestShore, bc, Canada",Low,2.0,2.0,2.0,3.0,48.4474626,-123.4956337,,WestShore
"Whistler, bc, Canada",Low,3.0,3.0,2.0,2.0,50.1161686,-122.9535117,,Whistler
"Williams Lake, bc, Canada",Low,2.0,2.0,1.0,1.0,52.1416736,-122.1416885,,Williams Lake
"Airdrie, ab, Canada",Low,4,4,4.0,4.0,51.2926968,-114.0134113,,Airdrie
"Brooks, ab, Canada",Low,3,3,3.0,3.0,50.56538876,-111.897462,,Brooks
"Calgary, ab, Canada",Low,4,4,4.0,4.0,51.0447331,-114.0718831,,Calgary
"Cold Lake, ab, Canada",Low,3,3,2.0,2.0,54.464249,-110.1731779,,Cold Lake
"Drayton Valley, ab, Canada",Low,3,3,3.0,3.0,53.2214945,-114.976746,,Drayton Valley
"Edmonton, ab, Canada",Low,4,4,4.0,4.0,53.5460983,-113.4937266,,Edmonton
"Edson, ab, Canada",Low,3,3,3.0,3.0,53.585422,-116.4337219,,Edson
"Fort Chipewyan, ab, Canada",Low,10+,10+,4.0,4.0,58.7133284,-111.1574916,,Fort Chipewyan
"Fort McKay, ab, Canada",Low,2,2,3.0,2.0,57.186758,-111.636785,,Fort McKay
"Fort McMurray, ab, Canada",Low,2,2,3.0,2.0,56.7266231,-111.3790095,,Fort McMurray
"Fort Saskatchewan, ab, Canada",Low,3,2,3.0,3.0,53.6962239,-113.2163654,,Fort Saskatchewan
"Genesee, ab, Canada",Low,4,4,3.0,3.0,53.34453394,-114.3267988,,Genesee
"Grande Prairie, ab, Canada",Low,3,3,2.0,2.0,55.170691,-118.7884808,,Grande Prairie
"Hinton, ab, Canada",Low,3,3,2.0,2.0,53.399067,-117.5794057,,Hinton
"Lamont County, ab, Canada",Low,3,2,3.0,3.0,53.7901566,-112.5577641,,Lamont County
"Lethbridge, ab, Canada",Low,3,3,3.0,3.0,49.6956181,-112.8451067,,Lethbridge
