Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast
Location and sub-locations,Observed Conditions,Friday,Friday night,Saturday,Saturday night,Unnamed: 6_level_1,,,,,,
Barrie,2 Low Risk,10+ Very High Risk,6 Moderate Risk,10 High Risk,6 Moderate Risk,,"Barrie, on, Canada",Low,10+,6,10,6
Belleville,2 Low Risk,3 Low Risk,4 Moderate Risk,7 High Risk,5 Moderate Risk,,"Belleville, on, Canada",Low,3,4,7,5
Brampton,3 Low Risk,10+ Very High Risk,10+ Very High Risk,10 High Risk,6 Moderate Risk,,"Brampton, on, Canada",Low,10+,10+,10,6
Brantford,10+ Very High Risk,10+ Very High Risk,10+ Very High Risk,10 High Risk,6 Moderate Risk,,"Brantford, on, Canada",Very,10+,10+,10,6
Burlington,4 Moderate Risk,10+ Very High Risk,10+ Very High Risk,10 High Risk,6 Moderate Risk,,"Burlington, on, Canada",Moderate,10+,10+,10,6
Chatham,10+ Very High Risk,10+ Very High Risk,10+ Very High Risk,10+ Very High Risk,10+ Very High Risk,,"Chatham, on, Canada",Very,10+,10+,10+,10+
Cornwall,2 Low Risk,3 Low Risk,3 Low Risk,7 High Risk,6 Moderate Risk,,"Cornwall, on, Canada",Low,3,3,7,6
Dorset,2 Low Risk,3 Low Risk,5 Moderate Risk,8 High Risk,7 High Risk,,"Dorset, on, Canada",Low,3,5,8,7
Grand Bend,10+ Very High Risk,10+ Very High Risk,10+ Very High Risk,10+ Very High Risk,10+ Very High Risk,,"Grand Bend, on, Canada",Very,10+,10+,10+,10+
Guelph,10+ Very High Risk,10+ Very High Risk,10+ Very High Risk,10 High Risk,6 Moderate Risk,,"Guelph, on, Canada",Very,10+,10+,10,6
Hamilton,8 High Risk,10+ Very High Risk,10+ Very High Risk,10 High Risk,6 Moderate Risk,,"Hamilton, on, Canada",High,10+,10+,10,6
